# 轨迹类型：正弦轨迹
# 点数：50
# X(mm) Y(mm) Z(mm)
250.00 -120.00 200.00
250.00 -115.10 206.39
250.00 -110.20 212.68
250.00 -105.31 218.76
250.00 -100.41 224.54
250.00 -95.51 229.91
250.00 -90.61 234.78
250.00 -85.71 239.09
250.00 -80.82 242.76
250.00 -75.92 245.72
250.00 -71.02 247.93
250.00 -66.12 249.36
250.00 -61.22 249.97
250.00 -56.33 249.77
250.00 -51.43 248.75
250.00 -46.53 246.92
250.00 -41.63 244.33
250.00 -36.73 241.01
250.00 -31.84 237.01
250.00 -26.94 232.41
250.00 -22.04 227.28
250.00 -17.14 221.69
250.00 -12.24 215.76
250.00 -7.35 209.56
250.00 -2.45 203.20
250.00 2.45 196.80
250.00 7.35 190.44
250.00 12.24 184.24
250.00 17.14 178.31
250.00 22.04 172.72
250.00 26.94 167.59
250.00 31.84 162.99
250.00 36.73 158.99
250.00 41.63 155.67
250.00 46.53 153.08
250.00 51.43 151.25
250.00 56.33 150.23
250.00 61.22 150.03
250.00 66.12 150.64
250.00 71.02 152.07
250.00 75.92 154.28
250.00 80.82 157.24
250.00 85.71 160.91
250.00 90.61 165.22
250.00 95.51 170.09
250.00 100.41 175.46
250.00 105.31 181.24
250.00 110.20 187.32
250.00 115.10 193.61
250.00 120.00 200.00
