# 轨迹类型：正弦轨迹
# 点数：100
# X(mm) Y(mm) Z(mm)
250.00 -120.00 200.00
250.00 -117.58 203.17
250.00 -115.15 206.33
250.00 -112.73 209.46
250.00 -110.30 212.56
250.00 -107.88 215.60
250.00 -105.45 218.58
250.00 -103.03 221.49
250.00 -100.61 224.31
250.00 -98.18 227.03
250.00 -95.76 229.65
250.00 -93.33 232.14
250.00 -90.91 234.50
250.00 -88.48 236.73
250.00 -86.06 238.81
250.00 -83.64 240.73
250.00 -81.21 242.49
250.00 -78.79 244.07
250.00 -76.36 245.48
250.00 -73.94 246.71
250.00 -71.52 247.75
250.00 -69.09 248.59
250.00 -66.67 249.24
250.00 -64.24 249.69
250.00 -61.82 249.94
250.00 -59.39 249.99
250.00 -56.97 249.84
250.00 -54.55 249.49
250.00 -52.12 248.94
250.00 -49.70 248.19
250.00 -47.27 247.25
250.00 -44.85 246.12
250.00 -42.42 244.80
250.00 -40.00 243.30
250.00 -37.58 241.63
250.00 -35.15 239.79
250.00 -32.73 237.79
250.00 -30.30 235.63
250.00 -27.88 233.34
250.00 -25.45 230.91
250.00 -23.03 228.35
250.00 -20.61 225.68
250.00 -18.18 222.91
250.00 -15.76 220.05
250.00 -13.33 217.10
250.00 -10.91 214.09
250.00 -8.48 211.02
250.00 -6.06 207.90
250.00 -3.64 204.75
250.00 -1.21 201.59
250.00 1.21 198.41
250.00 3.64 195.25
250.00 6.06 192.10
250.00 8.48 188.98
250.00 10.91 185.91
250.00 13.33 182.90
250.00 15.76 179.95
250.00 18.18 177.09
250.00 20.61 174.32
250.00 23.03 171.65
250.00 25.45 169.09
250.00 27.88 166.66
250.00 30.30 164.37
250.00 32.73 162.21
250.00 35.15 160.21
250.00 37.58 158.37
250.00 40.00 156.70
250.00 42.42 155.20
250.00 44.85 153.88
250.00 47.27 152.75
250.00 49.70 151.81
250.00 52.12 151.06
250.00 54.55 150.51
250.00 56.97 150.16
250.00 59.39 150.01
250.00 61.82 150.06
250.00 64.24 150.31
250.00 66.67 150.76
250.00 69.09 151.41
250.00 71.52 152.25
250.00 73.94 153.29
250.00 76.36 154.52
250.00 78.79 155.93
250.00 81.21 157.51
250.00 83.64 159.27
250.00 86.06 161.19
250.00 88.48 163.27
250.00 90.91 165.50
250.00 93.33 167.86
250.00 95.76 170.35
250.00 98.18 172.97
250.00 100.61 175.69
250.00 103.03 178.51
250.00 105.45 181.42
250.00 107.88 184.40
250.00 110.30 187.44
250.00 112.73 190.54
250.00 115.15 193.67
250.00 117.58 196.83
250.00 120.00 200.00
