# 轨迹类型：正弦轨迹
# 点数：300
# X(mm) Y(mm) Z(mm)
250.00 -120.00 200.00
250.00 -119.20 201.05
250.00 -118.39 202.10
250.00 -117.59 203.15
250.00 -116.79 204.20
250.00 -115.99 205.24
250.00 -115.18 206.29
250.00 -114.38 207.33
250.00 -113.58 208.37
250.00 -112.78 209.40
250.00 -111.97 210.43
250.00 -111.17 211.46
250.00 -110.37 212.48
250.00 -109.57 213.49
250.00 -108.76 214.50
250.00 -107.96 215.50
250.00 -107.16 216.50
250.00 -106.35 217.48
250.00 -105.55 218.46
250.00 -104.75 219.44
250.00 -103.95 220.40
250.00 -103.14 221.36
250.00 -102.34 222.30
250.00 -101.54 223.24
250.00 -100.74 224.16
250.00 -99.93 225.08
250.00 -99.13 225.98
250.00 -98.33 226.87
250.00 -97.53 227.75
250.00 -96.72 228.62
250.00 -95.92 229.47
250.00 -95.12 230.32
250.00 -94.31 231.15
250.00 -93.51 231.96
250.00 -92.71 232.76
250.00 -91.91 233.55
250.00 -91.10 234.32
250.00 -90.30 235.08
250.00 -89.50 235.82
250.00 -88.70 236.54
250.00 -87.89 237.25
250.00 -87.09 237.94
250.00 -86.29 238.62
250.00 -85.48 239.28
250.00 -84.68 239.92
250.00 -83.88 240.54
250.00 -83.08 241.15
250.00 -82.27 241.74
250.00 -81.47 242.31
250.00 -80.67 242.86
250.00 -79.87 243.39
250.00 -79.06 243.90
250.00 -78.26 244.39
250.00 -77.46 244.87
250.00 -76.66 245.32
250.00 -75.85 245.76
250.00 -75.05 246.17
250.00 -74.25 246.56
250.00 -73.44 246.93
250.00 -72.64 247.29
250.00 -71.84 247.62
250.00 -71.04 247.93
250.00 -70.23 248.22
250.00 -69.43 248.48
250.00 -68.63 248.73
250.00 -67.83 248.95
250.00 -67.02 249.16
250.00 -66.22 249.34
250.00 -65.42 249.50
250.00 -64.62 249.64
250.00 -63.81 249.75
250.00 -63.01 249.84
250.00 -62.21 249.92
250.00 -61.40 249.97
250.00 -60.60 249.99
250.00 -59.80 250.00
250.00 -59.00 249.98
250.00 -58.19 249.94
250.00 -57.39 249.88
250.00 -56.59 249.80
250.00 -55.79 249.70
250.00 -54.98 249.57
250.00 -54.18 249.42
250.00 -53.38 249.25
250.00 -52.58 249.06
250.00 -51.77 248.84
250.00 -50.97 248.61
250.00 -50.17 248.35
250.00 -49.36 248.07
250.00 -48.56 247.77
250.00 -47.76 247.45
250.00 -46.96 247.11
250.00 -46.15 246.75
250.00 -45.35 246.37
250.00 -44.55 245.96
250.00 -43.75 245.54
250.00 -42.94 245.10
250.00 -42.14 244.63
250.00 -41.34 244.15
250.00 -40.54 243.65
250.00 -39.73 243.13
250.00 -38.93 242.58
250.00 -38.13 242.02
250.00 -37.32 241.45
250.00 -36.52 240.85
250.00 -35.72 240.23
250.00 -34.92 239.60
250.00 -34.11 238.95
250.00 -33.31 238.28
250.00 -32.51 237.60
250.00 -31.71 236.90
250.00 -30.90 236.18
250.00 -30.10 235.45
250.00 -29.30 234.70
250.00 -28.49 233.94
250.00 -27.69 233.16
250.00 -26.89 232.36
250.00 -26.09 231.55
250.00 -25.28 230.73
250.00 -24.48 229.90
250.00 -23.68 229.05
250.00 -22.88 228.19
250.00 -22.07 227.31
250.00 -21.27 226.43
250.00 -20.47 225.53
250.00 -19.67 224.62
250.00 -18.86 223.70
250.00 -18.06 222.77
250.00 -17.26 221.83
250.00 -16.45 220.88
250.00 -15.65 219.92
250.00 -14.85 218.95
250.00 -14.05 217.98
250.00 -13.24 216.99
250.00 -12.44 216.00
250.00 -11.64 215.00
250.00 -10.84 213.99
250.00 -10.03 212.98
250.00 -9.23 211.97
250.00 -8.43 210.94
250.00 -7.63 209.92
250.00 -6.82 208.88
250.00 -6.02 207.85
250.00 -5.22 206.81
250.00 -4.41 205.77
250.00 -3.61 204.72
250.00 -2.81 203.67
250.00 -2.01 202.63
250.00 -1.20 201.58
250.00 -0.40 200.53
250.00 0.40 199.47
250.00 1.20 198.42
250.00 2.01 197.37
250.00 2.81 196.33
250.00 3.61 195.28
250.00 4.41 194.23
250.00 5.22 193.19
250.00 6.02 192.15
250.00 6.82 191.12
250.00 7.63 190.08
250.00 8.43 189.06
250.00 9.23 188.03
250.00 10.03 187.02
250.00 10.84 186.01
250.00 11.64 185.00
250.00 12.44 184.00
250.00 13.24 183.01
250.00 14.05 182.02
250.00 14.85 181.05
250.00 15.65 180.08
250.00 16.45 179.12
250.00 17.26 178.17
250.00 18.06 177.23
250.00 18.86 176.30
250.00 19.67 175.38
250.00 20.47 174.47
250.00 21.27 173.57
250.00 22.07 172.69
250.00 22.88 171.81
250.00 23.68 170.95
250.00 24.48 170.10
250.00 25.28 169.27
250.00 26.09 168.45
250.00 26.89 167.64
250.00 27.69 166.84
250.00 28.49 166.06
250.00 29.30 165.30
250.00 30.10 164.55
250.00 30.90 163.82
250.00 31.71 163.10
250.00 32.51 162.40
250.00 33.31 161.72
250.00 34.11 161.05
250.00 34.92 160.40
250.00 35.72 159.77
250.00 36.52 159.15
250.00 37.32 158.55
250.00 38.13 157.98
250.00 38.93 157.42
250.00 39.73 156.87
250.00 40.54 156.35
250.00 41.34 155.85
250.00 42.14 155.37
250.00 42.94 154.90
250.00 43.75 154.46
250.00 44.55 154.04
250.00 45.35 153.63
250.00 46.15 153.25
250.00 46.96 152.89
250.00 47.76 152.55
250.00 48.56 152.23
250.00 49.36 151.93
250.00 50.17 151.65
250.00 50.97 151.39
250.00 51.77 151.16
250.00 52.58 150.94
250.00 53.38 150.75
250.00 54.18 150.58
250.00 54.98 150.43
250.00 55.79 150.30
250.00 56.59 150.20
250.00 57.39 150.12
250.00 58.19 150.06
250.00 59.00 150.02
250.00 59.80 150.00
250.00 60.60 150.01
250.00 61.40 150.03
250.00 62.21 150.08
250.00 63.01 150.16
250.00 63.81 150.25
250.00 64.62 150.36
250.00 65.42 150.50
250.00 66.22 150.66
250.00 67.02 150.84
250.00 67.83 151.05
250.00 68.63 151.27
250.00 69.43 151.52
250.00 70.23 151.78
250.00 71.04 152.07
250.00 71.84 152.38
250.00 72.64 152.71
250.00 73.44 153.07
250.00 74.25 153.44
250.00 75.05 153.83
250.00 75.85 154.24
250.00 76.66 154.68
250.00 77.46 155.13
250.00 78.26 155.61
250.00 79.06 156.10
250.00 79.87 156.61
250.00 80.67 157.14
250.00 81.47 157.69
250.00 82.27 158.26
250.00 83.08 158.85
250.00 83.88 159.46
250.00 84.68 160.08
250.00 85.48 160.72
250.00 86.29 161.38
250.00 87.09 162.06
250.00 87.89 162.75
250.00 88.70 163.46
250.00 89.50 164.18
250.00 90.30 164.92
250.00 91.10 165.68
250.00 91.91 166.45
250.00 92.71 167.24
250.00 93.51 168.04
250.00 94.31 168.85
250.00 95.12 169.68
250.00 95.92 170.53
250.00 96.72 171.38
250.00 97.53 172.25
250.00 98.33 173.13
250.00 99.13 174.02
250.00 99.93 174.92
250.00 100.74 175.84
250.00 101.54 176.76
250.00 102.34 177.70
250.00 103.14 178.64
250.00 103.95 179.60
250.00 104.75 180.56
250.00 105.55 181.54
250.00 106.35 182.52
250.00 107.16 183.50
250.00 107.96 184.50
250.00 108.76 185.50
250.00 109.57 186.51
250.00 110.37 187.52
250.00 111.17 188.54
250.00 111.97 189.57
250.00 112.78 190.60
250.00 113.58 191.63
250.00 114.38 192.67
250.00 115.18 193.71
250.00 115.99 194.76
250.00 116.79 195.80
250.00 117.59 196.85
250.00 118.39 197.90
250.00 119.20 198.95
250.00 120.00 200.00
