关节角1 关节角2 关节角3 关节角4 关节角5 关节角6
-12.707091 -38.278054 -50.620813 -89.061937 -110.754810 -89.372028
-10.420339 -38.471754 -49.175214 -89.786771 -107.607062 -89.375204
-6.938974 -32.241044 -52.044522 -94.058870 -100.684399 -90.004066
-8.974380 -34.680924 -45.364829 -96.385499 -106.948837 -89.144139
-7.656835 -34.594628 -39.083527 -100.641704 -105.703277 -87.558995
-5.339054 -30.241547 -48.332577 -96.475008 -97.453078 -90.456068
-3.673883 -29.587833 -45.718913 -101.960381 -102.350979 -89.183310
-1.032373 -34.724391 -37.565166 -103.068443 -94.539121 -90.642600
-0.833189 -39.949449 -27.405765 -111.217302 -99.088013 -89.923313
0.113214 -25.045119 -43.283674 -108.421672 -99.743192 -90.485848
4.539181 -23.757537 -52.601401 -100.636806 -93.126528 -87.505768
5.580223 -29.282910 -41.664854 -106.229693 -88.310637 -90.736980
4.665871 -30.899748 -38.209250 -107.012528 -92.162324 -89.027527
8.644724 -28.507405 -43.343465 -107.160388 -90.620976 -90.044877
8.091981 -25.512379 -42.952082 -109.404857 -88.540336 -89.737450
9.809291 -32.475115 -38.643855 -107.447591 -82.733159 -91.516182
12.096531 -20.751836 -51.054421 -106.792221 -80.655559 -90.999587
10.885394 -26.943809 -46.962304 -102.802693 -93.142170 -92.085129
15.890227 -20.020104 -55.247587 -102.489304 -85.325421 -95.141311
21.331610 -21.614011 -60.783206 -94.328505 -74.997854 -91.121110
20.943358 -15.602889 -73.470781 -89.512580 -82.282483 -90.751494
19.315893 -16.943007 -66.007317 -94.938318 -71.127514 -91.222087
19.552301 -24.140650 -67.492535 -85.561691 -74.505725 -89.503967
19.181907 -18.750411 -68.136458 -90.407608 -79.096719 -91.126827
25.395711 -14.721416 -80.985553 -79.910590 -70.400857 -92.780129
22.373140 -17.447923 -87.194495 -71.460834 -68.774035 -90.465938
27.002352 -21.155854 -80.375419 -76.654926 -67.077813 -90.311316
27.757032 -19.502371 -86.229636 -70.872092 -71.847723 -90.065634
29.678504 -21.069127 -87.332978 -69.130073 -67.969446 -92.022217
27.628197 -19.341299 -94.782590 -62.907914 -56.867503 -91.244415
31.601889 -21.944734 -93.875151 -60.213705 -67.899191 -94.019302
33.959065 -24.591840 -88.623590 -64.059873 -66.249044 -89.077606
36.365607 -25.132972 -93.209782 -57.656195 -56.002439 -91.775975
39.582309 -22.139975 -99.223818 -55.788599 -44.408456 -92.957420
40.383108 -25.124161 -95.993487 -55.445645 -49.454319 -91.758776
35.083612 -24.212001 -95.277314 -54.753088 -49.257466 -102.266278
37.179192 -25.712396 -99.319160 -52.206110 -59.886819 -91.752274
41.255244 -29.630778 -89.684461 -58.479185 -50.389625 -91.699401
42.459762 -29.961427 -88.709104 -60.056733 -49.342885 -90.088932
41.547231 -26.455189 -89.540809 -60.301486 -53.804194 -92.487981
46.370684 -32.445622 -80.661816 -66.204498 -45.973587 -90.270560
49.696706 -24.866007 -94.166992 -57.073457 -43.911354 -94.343894
48.123614 -32.517154 -82.104966 -63.776564 -42.233016 -91.123937
51.315542 -28.149721 -87.184312 -60.351729 -48.408665 -93.507831
45.935467 -34.595642 -74.294174 -69.348126 -50.529996 -88.681400
53.720240 -26.968020 -80.158841 -67.344272 -37.082005 -96.330987
53.206702 -33.286572 -69.510098 -72.199000 -31.835464 -93.484929
52.540964 -35.539677 -57.795845 -83.674359 -33.594285 -92.513819
54.392703 -30.701393 -66.666546 -79.574777 -42.321847 -93.629667
54.471769 -36.319446 -53.590959 -85.357946 -27.314514 -95.935799
